	DRUG	CTRL	EC50	PARENT_ID	DATE
0	ACV	1.507	1.575	723	2024-06-17 00:00:00
1	CDV	26.14	4.762	723	2024-06-17 00:00:00
2	FOS	122.2	97.15	723	2024-06-17 00:00:00
3	ACV	2.004	>40.0	99	2012-09-04 00:00:00
4	PCV	5.783	>160.0	99	2012-09-04 00:00:00
5	CDV	12.84	29.49	99	2012-09-04 00:00:00
6	FOS	191.	98.36	99	2012-09-04 00:00:00
7	ACV	0.7667	4.659	427	2018-05-21 00:00:00
8	PCV	3.412	6.083	427	2018-05-21 00:00:00
9	CDV	10.91	26.06	427	2018-05-21 00:00:00
10	FOS	124.0	296.4	427	2018-05-21 00:00:00
11	CDV	<1.5625	43.60	540	2021-04-30 00:00:00
12	ACV	2.684	0.8694	317	2016-10-24 00:00:00
13	PCV	11.98	10.76	317	2016-10-24 00:00:00
14	CDV	18.85	30.48	317	2016-10-24 00:00:00
15	FOS	323.2	72.97	317	2016-10-24 00:00:00
16	ACV	2.549	1.342	309	2025-07-30 16:15:48
17	PCV	8.217	10.88	309	2025-07-30 16:15:48
18	CDV	16.33	54.65	309	2025-07-30 16:15:48
19	FOS	132.7	78.64	309	2025-07-30 16:15:48
20	ACV	<0.15625	1.304	565	2021-04-16 00:00:00
21	CDV	3.59	6.664	565	2021-04-16 00:00:00
22	FOS	71.62	71.58	565	2021-04-16 00:00:00
23	ACV	3.124	>40.0	779	2019-07-08 00:00:00
24	PCV	5.087	>160.0	779	2019-07-08 00:00:00
25	CDV	20.16	14.38	779	2019-07-08 00:00:00
26	FOS	131.5	216.3	779	2019-07-08 00:00:00
27	ACV	1.229	20.82	613	2022-06-13 00:00:00
28	FOS	116.1	51.96	613	2022-06-13 00:00:00
29	ACV	0.6622	1.046	350	2017-04-28 00:00:00
30	PCV	1.547	3.634	350	2017-04-28 00:00:00
31	CDV	3.532	10.33	350	2017-04-28 00:00:00
32	FOS	<50.0	82.67	350	2017-04-28 00:00:00
33	ACV	0.8396	0.7720	219	2015-01-30 00:00:00
34	PCV	6.259	3.674	219	2015-01-30 00:00:00
35	CDV	14.90	24.35	219	2015-01-30 00:00:00
36	FOS	207.9	140.8	219	2015-01-30 00:00:00
37	ACV	0.6732	0.6855	183	2014-05-12 00:00:00
38	PCV	2.379	2.36	183	2014-05-12 00:00:00
39	CDV	6.407	14.29	183	2014-05-12 00:00:00
40	FOS	121.4	<50.0	183	2014-05-12 00:00:00
41	ACV	0.8396	>40.0	218	2015-01-30 00:00:00
42	PCV	6.259	>160.0	218	2015-01-30 00:00:00
43	CDV	14.90	37.98	218	2015-01-30 00:00:00
44	FOS	207.9	72.36	218	2015-01-30 00:00:00
45	ACV	1.277	>40.0	609	2022-04-29 00:00:00
46	FOS	116.5	<50.0	609	2022-04-29 00:00:00
47	ACV	0.8006	0.5993	434	2018-06-04 00:00:00
48	PCV	3.734	1.909	434	2018-06-04 00:00:00
49	CDV	14.55	3.206	434	2018-06-04 00:00:00
50	FOS	147.2	52.36	434	2018-06-04 00:00:00
51	ACV	0.6383	>40.0	476	2019-09-02 00:00:00
52	PCV	2.098	>160.0	476	2019-09-02 00:00:00
53	CDV	3.702	3.937	476	2019-09-02 00:00:00
54	FOS	66.45	<50.0	476	2019-09-02 00:00:00
55	ACV	1.42	22.61	104	2012-09-07 00:00:00
56	PCV	6.235	152.2	104	2012-09-07 00:00:00
57	CDV	17.23	4.070	104	2012-09-07 00:00:00
58	FOS	204.8	106.0	104	2012-09-07 00:00:00
59	ACV	1.400	1.403	638	2022-09-16 00:00:00
